,alpha,beta,gamma,tau,scf_cc,nn_scf_cc
409,22.0,0.2,20.0,1.0,1.813980728,1.8949469
410,40.0,0.2,20.0,1.0,1.813403085,1.8292726
411,4.0,0.2,8.0,0.2,0.25,0.26879176
412,22.0,0.2,8.0,0.2,0.25,0.27457675
413,40.0,0.2,8.0,0.2,0.25,0.27344748
414,4.0,0.5,8.0,1.0,1.120234557,1.1425447
415,22.0,0.5,8.0,1.0,1.147117777,1.1975231
416,4.0,0.2,8.0,0.4,0.320024729,0.33355492
417,40.0,0.2,8.0,0.4,0.320922422,0.3481144
418,22.0,0.2,8.0,0.4,0.320911387,0.33518583
419,4.0,0.4,8.0,0.8,0.833667633,0.849793
420,4.0,0.3,8.0,0.6,0.584796196,0.6049125
421,40.0,0.3,8.0,0.6,0.589589802,0.63797605
422,22.0,0.3,8.0,0.6,0.589298687,0.6108989
423,22.0,0.4,8.0,0.8,0.846179507,0.88156617
424,40.0,0.4,8.0,0.8,0.847215554,0.88074565
425,40.0,0.5,8.0,1.0,0.867690289,0.91974646
426,4.0,0.2,14.0,0.8,0.933931876,0.9409933
427,40.0,0.2,14.0,0.8,0.93617396,0.95126253
428,22.0,0.2,14.0,0.8,0.936034388,0.8979074
429,4.0,0.4,8.0,1.0,0.880516212,0.90520054
430,22.0,0.4,8.0,1.0,0.894445711,0.92136496
431,40.0,0.4,8.0,1.0,0.895669065,0.9498752
432,4.0,0.3,8.0,0.8,0.589469052,0.60391957
433,22.0,0.3,8.0,0.8,0.594285657,0.6054738
434,40.0,0.3,8.0,0.8,0.59462197,0.62901545
435,4.0,0.2,14.0,1.0,0.867633378,0.888137
436,22.0,0.2,14.0,1.0,0.869626372,0.86404824
437,40.0,0.2,14.0,1.0,0.86982798,0.9172944
438,4.0,0.3,8.0,1.0,0.486625782,0.5290279
439,22.0,0.3,8.0,1.0,0.491057159,0.5358418
440,40.0,0.3,8.0,1.0,0.491172466,0.542394
441,22.0,0.2,8.0,0.6,0.256369857,0.26556948
442,40.0,0.2,8.0,0.6,0.256430057,0.2787562
443,40.0,0.2,8.0,1.0,0.25,0.27605122
444,22.0,0.2,8.0,1.0,0.25,0.26268685
445,4.0,0.2,8.0,1.0,0.25,0.2619006
446,40.0,0.2,8.0,0.8,0.25,0.28624904
447,22.0,0.2,8.0,0.8,0.25,0.26219156
448,4.0,0.2,8.0,0.8,0.25,0.27034417
449,9.94,0.48,8.57,0.83,1.468653775,1.4445456
450,20.0,0.57,9.01,0.9,1.846576047,1.848936
451,9.38,0.21,19.79,0.91,2.31563886,2.1556401
452,10.55,0.63,9.2,0.94,2.026950877,1.9666308
453,4.62,0.4,11.35,0.87,1.927281854,1.9063206
454,5.26,0.53,8.04,0.75,1.461978303,1.4359204
455,25.71,0.59,11.56,0.95,2.414646541,2.4320486
456,26.2,0.59,10.39,0.79,1.999169406,1.997381
457,4.31,0.53,9.6,0.71,1.684348123,1.6615694
458,14.25,0.61,15.45,0.97,3.073391861,3.0287633
459,10.86,0.64,21.38,0.98,3.752851759,3.758373
460,9.17,0.48,12.48,0.68,2.049821298,2.0228176
461,37.9,0.63,20.52,0.84,3.239775924,3.221733
462,6.86,0.6,12.64,0.51,1.649707079,1.6332952
